show_id,Year,Name
s6744,1998,Fear and Loathing in Las Vegas
s609,2002,The Sum of All Fears
s1150,2001,Yu-Gi-Oh!
s961,1993,The Innocent
s6,2003,Midnight Mass
s6360,2003,Boom
s1354,1997,Beverly Hills Ninja
s47,2000,Safe House
s337,2004,Friday Night Lights
s7080,2005,Insan
s3186,2001,The Road to Love
s7484,1993,Money for Nothing
s7304,1997,Lifeline
s3771,1993,Tales of the City
s1994,2002,Signs
s6148,2000,American Psycho
s8305,1994,The Flintstones
s8152,1981,Tarzan
s6568,2003,Darna Mana Hai
s162,1996,Mars Attacks!
s1232,2003,City of Ghosts
s819,1996,The Mirror Has Two Faces
s4646,1999,Life
s2696,1979,The Main Event
s1053,1989,The Master
s836,1998,Eden
s3676,1998,Point Blank
s3914,2003,Hazaaron Khwaishein Aisi
s4578,1999,Khoobsurat
s2334,1980,Ordinary People
s1982,2000,Whipped
s2111,1973,Scarecrow
s8311,2004,The Forgotten
s3269,1996,House Arrest
s1255,1988,Rain Man
s8743,1999,Wild Wild West
s6066,2003,A Wrinkle in Time
s1462,1988,Mystic Pizza
s177,1986,The Golden Child
s6398,2003,Cabin Fever
s7412,2002,Martin Lawrence Live: Runteldat
s2697,1962,The Trial
s8608,2001,Tortilla Soup
s8622,1990,Tremors
s8594,2003,Timeline
s3300,1997,U Turn
s603,1986,The Karate Kid Part II
s7330,2003,Loco Love
s596,1999,Stuart Little
s6893,2000,Grass
s5334,1997,The Saint
s7388,1989,Maine Pyar Kiya
s3046,1979,Dracula
s1588,2003,Detention
s5015,2004,Swades
s541,1986,The Worst Witch
s350,2003,Seabiscuit
s147,1994,House Party 3
s8723,2000,What Lies Beneath
s2130,1993,Fearless
s4006,1999,Girl
s6164,2001,Angel Eyes
s8402,2005,The Longest Yard
s6588,2000,Deep Water
s6359,1967,Bonnie and Clyde
s7715,1992,Patriot Games
s6306,2002,Big Fat Liar
s3500,1985,Vagabond
s7122,2001,Jay and Silent Bob Strike Back
s5178,1989,The Killer
s3947,2004,Possessed
s7802,2000,Pukar
s8771,2001,Yaadein
s8195,1998,The Apostate
s2517,1978,The End
s358,2004,The Machinist
s8198,1997,The Assignment
s4553,1979,Monty Python's Life of Brian
s6534,1967,Cool Hand Luke
s7880,1976,Rocky
s8532,2002,The Time Machine
s4952,1994,Loaded
s180,1996,The Nutty Professor
s5492,1943,Sahara
s4921,2000,Dude
s8197,2000,The Art of War
s8768,2005,XXX: State of the Union
s8618,1970,Trash
s8039,1996,Sling Blade
s611,2003,Underworld
s1020,2001,Lagaan
s1034,1991,Rush
s4046,1991,The Hard Way
s7638,1960,Ocean's Eleven
s6845,1990,Ghayal
s616,1998,Why Do Fools Fall in Love
s2165,2005,Sin City
s2717,2005,Brothers
s798,2001,I Am Sam
s810,2004,Starsky & Hutch
s1139,1991,The Pianist
s5717,2000,Paranoid
s7845,1984,Red Dawn
s4993,2004,Collateral
s6541,1996,Crash
s594,2000,Snow Day
s6634,1997,Donnie Brasco
s6063,2002,A Walk to Remember
s6099,1988,Aftershock
s2280,1996,Michael
s3107,1998,Lost in Space
s2071,1937,Heidi
s8200,1999,The Bachelor
s5954,2000,Joseph: King of Dreams
s929,1989,Best of the Best
s6284,2004,Benji: Off the Leash
s326,1992,Beethoven
s587,1990,Pet Sematary 2
s2070,2002,H
s351,2000,Space Cowboys
s6489,2002,City of God
s2793,1935,She
s7825,1996,Raja Hindustani
s567,2000,Charlie's Angels
s7756,1989,Popeye
s6843,1989,Get Smart
s333,1999,Deep Blue Sea
s4631,1976,Quincy
s881,1995,Haunted
s8190,1960,The Andy Griffith Show
s8257,1996,The Craft
s6323,2001,Black Hawk Down
s7211,2003,Kingpin
s3836,2003,Easy
s7358,1957,Loving You
s3918,2005,Shabd
s6404,2003,Calendar Girls
s866,1936,Sabotage
s8038,2004,Sleepover
s8167,2003,Terminator 3: Rise of the Machines
s334,1986,Ferris Bueller's Day Off
s953,2000,The Whole Nine Yards
s562,2002,Austin Powers in Goldmember
s6842,1995,Get Shorty
s7756,1980,Popeye
s6448,2003,Charlie's Angels: Full Throttle
s7660,1968,Once Upon a Time in the West
s1489,1997,DNA
s8630,1995,Trimurti
s2255,1985,The Protector
s8450,1993,The Pelican Brief
s140,1989,Do the Right Thing
s7104,1995,It Takes Two
s4552,1969,Monty Python's Flying Circus
s799,1997,Love Jones
s7547,2003,My Sister's Keeper
s7432,1973,Mean Streets
s794,1996,Fools Rush In
s8251,2002,The Code
s4205,1996,Solo
s8730,2000,Where the Money Is
s8490,1994,The River Wild
s328,1999,Beowulf
s8689,2000,Waiting
s6610,2002,Die Another Day
s605,2003,The Life of David Gale
s7956,2000,Scary Movie
s4093,2001,Kevin James: Sweat the Small Stuff
s2730,2005,Kaal
s606,1980,The Long Riders
s4978,1973,Benji
s7204,1988,Killer Klowns from Outer Space
s6415,1998,Can't Hardly Wait
s6153,1991,An American Tail: Fievel Goes West
s1815,1940,Rebecca
s7959,1988,School Daze
s7901,1995,Rumble in the Bronx
s7907,1997,Rurouni Kenshin
s2848,1932,Freaks
s7795,2001,Prince Charming
s164,2003,My Boss's Daughter
s1912,2001,Human Nature
s6050,1998,A Night at the Roxbury
s8148,2002,Taken
s7879,1985,Robotech
s7807,2001,Pyaar Tune Kya Kiya
s6268,1992,Bebe's Kids
s8427,1994,The Monster
s1938,2003,Amandla! A Revolution in Four Part Harmony
s6598,2002,Detour
s1935,2001,Bully
s359,1995,The Net
s6396,1960,Butterfield 8
s3017,2002,Hop
s2379,2001,The Order
s327,1993,Beethoven's 2nd
s7855,2003,Remember Me
s1622,1990,Quigley Down Under
s8188,2001,The American President
s360,2000,The Original Kings of Comedy
s2075,1998,Soldier
s44,1986,Jaws 3
s1859,2004,Fida
s8565,1999,The World Is Not Enough
s6138,2004,American Crime
s178,1961,The Guns of Navarone
s138,2001,Crocodile Dundee in Los Angeles
s727,2004,Metallica: Some Kind of Monster
s6212,1983,Bad Boys
s8161,1990,Teenage Mutant Ninja Turtles: The Movie
s1878,2005,Private Lives
s7368,1979,Mad Max
s959,1995,Seven
s8139,1982,Sweeney Todd: The Demon Barber of Fleet Street
s8291,1982,The Evil Dead
s330,2002,Catch Me If You Can
s6720,1996,Executive Decision
s8194,1960,The Apartment
s293,1981,Quartet
s8104,1992,Strictly Ballroom
s6129,2000,Always a Bridesmaid
s28,1980,Grown Ups
s5078,2001,Godzilla
s5961,1997,187
s145,1990,House Party
s7896,1998,Rounders
s8691,2004,Wake Up
s2445,1999,Cardcaptor Sakura
s6034,2003,A Family Affair
s181,2000,The Nutty Professor II: The Klumps
s1141,1999,Universal Soldier: The Return
s6186,1981,Arthur
s565,1997,Boogie Nights
s93,1985,Into the Night
s6963,1992,Hero
s7214,1997,Kiss the Girls
s611,1996,Underworld
s3476,1998,The Rugrats Movie
s2355,1921,Destiny
s5691,1996,From Dusk Till Dawn
s6865,1979,Gol Maal
s452,1998,Twilight
s569,1993,Dennis the Menace
s4719,1987,Like Father
s8528,1974,The Texas Chainsaw Massacre
s8436,1984,The Natural
s8107,1996,Striptease
s7752,1986,Platoon
s6747,1971,Fiddler on the Roof
s5811,2003,I'll Sleep When I'm Dead
s3929,1967,Persona
s5323,2003,Undefeated
s7882,1982,Rocky III
s5531,1997,The Wedding Party
s7881,1979,Rocky II
s6551,2003,Daddy Day Care
s2631,1999,Bittersweet
s3931,1963,The Silence
s6007,2000,28 Days
s7440,2003,Melvin Goes to Dinner
s8152,1999,Tarzan
s3238,2000,Brother
s6189,1997,As Good as It Gets
s7518,2002,Mr. Deeds
s5853,1998,Hush
s45,1987,Jaws: The Revenge
s1973,2005,Black
s6267,1996,Beavis and Butt-head Do America
s6222,2001,Balto 2: Wolf Quest
s8106,1981,Stripes
s6131,1977,Amar Akbar Anthony
s2379,2003,The Order
s2995,2004,The Ranch
s146,1993,House Party 2
s7504,2005,Monster-in-Law
s315,1995,Heavy
s3383,1993,Daybreak
s744,2002,Copenhagen
s8506,1995,The Show
s8160,1991,Teenage Mutant Ninja Turtles II: The Secret of the Ooze
s7466,1999,Miss Julie
s4215,1990,Lionheart
s498,1982,Cat People
s4921,2004,Dude
s4103,2004,Chameli
s580,1988,Midnight Run
s6716,2002,Evolution
s2882,1954,Taxi Driver
s2125,2003,Rita
s1264,1994,No Escape
s5227,1995,The Babysitter
s7240,2004,Kung Fu Hustle
s5078,1998,Godzilla
s8327,2003,The Gospel of John
s7640,2004,Ocean's Twelve
s7904,1999,Runaway Bride
s8499,2001,The Score
s2071,1993,Heidi
s8228,1999,The Bridge
s2641,1999,After Life
s6755,2003,Final Destination 2
s2633,2005,No Direction Home: Bob Dylan
s6032,1971,A Clockwork Orange
s7965,1993,Searching for Bobby Fischer
s4533,2002,Malevolent
s8043,1998,Small Soldiers
s8474,1956,The Rainmaker
s7967,1973,Season of the Witch
s137,2003,Cold Mountain
s2723,1998,Duplicate
s5359,1979,Opening Night
s5414,1962,Gypsy
s6827,2002,Gangs of New York
s446,1971,The Beguiled
s6914,1987,Hamburger Hill
s2882,1976,Taxi Driver
s2590,1960,Psycho
s8617,2001,Transcendence
s1862,1990,Dil
s3134,1978,Don
s8396,1974,The Little Prince
s6693,2004,Employee of the Month
s7019,1995,How to Make an American Quilt
s6644,2000,Dragonheart: A New Beginning
s3947,1947,Possessed
s7803,1994,Pulp Fiction
s6152,1986,An American Tail
s4793,2003,Chalte Chalte
s8528,2003,The Texas Chainsaw Massacre
s7712,1992,Passenger 57
s6144,1998,American History X
s43,1978,Jaws 2
s4785,1991,White Fang
s152,1999,Initial D
s7253,1987,La Bamba
s7621,1995,Now and Then
s1282,1994,Red
s8636,1969,True Grit
s3947,2000,Possessed
s4858,1999,Inspector Gadget
s8474,1997,The Rainmaker
s5287,2000,Frequency
s6523,2002,Company
s523,2005,Larva
s2873,2004,Unstoppable
s2433,2002,Alone
s892,2004,Layer Cake
s176,1980,The Blue Lagoon
s180,1963,The Nutty Professor
s5802,2001,Conspiracy
s7960,1998,Scooby-Doo on Zombie Island
s5442,1999,The Wishing Tree
s8294,1995,The Fear
s615,1998,What Dreams May Come
s1454,1997,Good Burger
s6754,2000,Final Destination
s6968,1999,Hide and Seek
s5394,1975,Breakout
s813,2001,Swordfish
s6428,1967,Casino Royale
s6910,1988,Hairspray
s1292,2000,Love
s4227,1994,The Paper
s6922,2002,Happy Times
s7074,1984,Indiana Jones and the Temple of Doom
s3099,1998,Fireworks
s800,2004,Million Dollar Baby
s670,2004,Locked Up
s2240,2003,Sylvia
s8523,1991,The Super
s8496,1999,The Runner
s6290,2005,Bewafaa
s773,1955,Summertime
s6656,2003,Dumb and Dumberer: When Harry Met Lloyd
s6780,1993,For Love or Money
s4375,1954,Sabrina
s184,1993,In the Line of Fire
s2716,1990,Agneepath
s8623,1995,Tremors 2: Aftershocks
s4155,1956,High Society
s974,1961,One
s2772,2001,Uncorked
s7053,1984,Iceman
s7794,1996,Primal Fear
s6469,1988,Child's Play
s6332,1989,Blaze
s1384,1994,Blown Away
s7171,2001,Kate & Leopold
s905,2001,Sleepless
s5396,1994,Intersection
s136,1993,Cliffhanger
s780,2000,Battlefield Earth
s8340,2002,The Healer
s3884,1983,The Outsiders
s7962,1997,Scream 2
s3676,1967,Point Blank
s221,2003,Family Reunion
s3473,2000,Rugrats in Paris: The Movie
s1016,1992,American Me
s6124,2001,Along Came a Spider
s8453,1925,The Phantom of the Opera
s1917,2005,Rize
s8453,1990,The Phantom of the Opera
s2852,1994,Uncovered
s7248,2000,Kya Kehna
s7184,1993,Khalnayak
s7903,2004,Run
s150,1998,I Got the Hook Up
s7131,1973,Jimi Hendrix
s6294,1995,Beyond the Clouds
s5812,2001,Behind Enemy Lines
s6474,1968,Chitty Chitty Bang Bang
s5098,1983,Lovesick
s3639,1991,Eerie
s8267,1982,The Dark Crystal
s943,2003,Mystic River
s2684,1985,Mischief
s1571,1944,Once Upon a Time
s6916,2000,Hangman
s6549,1989,Dad
s3335,1997,Drive
s8310,2003,The Foreigner
s1384,1992,Blown Away
s6416,1992,Candyman
s6963,2002,Hero
s817,2005,The Interpreter
s8137,1977,Swami
s8335,1978,The Great Train Robbery
s6432,1984,Cat on a Hot Tin Roof
s8736,1969,Who's That Knocking at My Door?
s4049,1986,River's Edge
s1951,2001,Time Out
s8206,1942,The Battle of Midway
s1292,2003,Love
s1762,1989,Little Monsters
s7958,1993,Schindler's List
s6424,1976,Carrie
s8532,1960,The Time Machine
s6948,1999,Head On
s2312,1999,Double Jeopardy
s7443,1997,Men in Black
s6712,1997,Event Horizon
s777,2001,American Outlaws
s1741,1973,Love & Anarchy
s4957,2000,Phir Bhi Dil Hai Hindustani
s5546,2005,Elaan
s6961,2000,Hera Pheri
s226,1997,Open Your Eyes
s8048,2005,Socha Na Tha
s4095,2003,Genius
s533,1973,Scream
s5945,1986,Hard Lessons
s3149,2002,What's New Scooby-Doo?
s1470,1993,What's Eating Gilbert Grape
s4942,2004,Troy
s6961,1975,Hera Pheri
s6902,2004,Gunslinger Girl
s563,1997,Austin Powers: International Man of Mystery
s6541,2005,Crash
s3346,1977,The Deep
s6854,1958,Gigi
s2741,1986,Saint Seiya
s6312,2000,Billy Elliot
s3046,1969,Dracula
s6344,1999,Blue Streak
s8461,1992,The Player
s3941,2002,Quicksand
s5551,2002,Skins
s7883,1985,Rocky IV
s5771,1993,Much Ado About Nothing
s8455,1963,The Pink Panther
s6154,1999,An American Tail: The Mystery of the Night Monster
s455,1983,Cheech & Chong's Still Smokin
s8153,2005,Tarzan 2
s6838,2003,George of the Jungle 2
s560,1997,Air Force One
s4936,1994,Amateur
s5501,1996,English Babu Desi Mem
s6249,1992,Basic Instinct
s4724,2000,Fiza
s8246,1982,The Chosen
s8302,1996,The First Wives Club
s466,2001,Heist
s7760,1995,Powder
s7821,1980,Raging Bull
s1066,2004,Slasher
s8260,1994,The Crow
s2091,2000,Edge of Seventeen
s175,2003,Tears of the Sun
s8746,1971,Willy Wonka & the Chocolate Factory
s7400,1983,Mansfield Park
s2318,1990,Total Recall
s5414,1993,Gypsy
s4707,1989,The Package
s3950,1998,Tango
s1311,2000,The Crew
s3108,1990,Jacob's Ladder
s7333,1997,Lolita
s6031,1977,A Bridge Too Far
s7145,1997,Judwaa
s4654,1992,City of Joy
s4218,1975,Monty Python and the Holy Grail
s2597,2003,What a Girl Wants
s192,1998,Wind River
s4837,1998,The Staircase
s5710,1999,Mercy
s7198,2003,Kill Bill: Vol. 1
s123,2003,In the Cut
s1700,1954,White Christmas
s2071,1968,Heidi
s6918,2001,Hannibal
s6704,2002,Equilibrium
s7224,1950,Kon-Tiki
s6221,1995,Balto
s5572,2001,Asoka
s4994,2002,The Outsider
s4375,1995,Sabrina
s7773,2005,Power Rangers S.P.D.
s8555,1998,The Waterboy
s156,1986,Labyrinth
s7709,1990,Paris Is Burning
s8415,1999,The Matrix
s564,1999,Austin Powers: The Spy Who Shagged Me
s3941,1950,Quicksand
s952,2002,The Sweetest Thing
s8453,1989,The Phantom of the Opera
s1355,1980,Heartland
s5008,1998,Dil Se
s7157,2002,K-19: The Widowmaker
s96,2000,The Circle
s3478,1988,Gotham
s167,1984,Once Upon a Time in America
s352,2004,Team America: World Police
s6885,2001,Gosford Park
s2518,1996,Boys Over Flowers
s673,1988,Mobile Suit Gundam: Char's Counterattack
s254,1995,Bombay
s364,2004,The Vault
s8152,1932,Tarzan
s811,1984,Streets of Fire
s5022,2004,Yuva
s911,2003,Monster
s6950,2001,Heartbreakers
s6894,1978,Grease
s7666,1997,One Night Stand
s344,1991,My Girl
s7638,2001,Ocean's Eleven
s7461,2004,Miracle
s169,2001,Osmosis Jones
s4239,1987,Sam Kinison: Family Entertainment Hour
s1060,1993,House of Cards
s8128,1972,Superfly
s2519,2001,Iris
s7621,1999,Now and Then
s1218,2001,The One
s4238,2000,Sam Kinison: Breaking the Rules
s6304,1999,Big Daddy
s6223,2005,Balto 3: Wings of Change
s8362,1995,The Indian in the Cupboard
s6805,1980,Friday the 13th
s3915,2003,Jhankaar Beats
s6913,2000,Hamara Dil Aapke Paas Hai
s1158,1999,Bad Trip
s7485,1997,Money Talks
s5571,1992,Howards End
s5096,2004,Fullmetal Alchemist
s7482,2003,Mona Lisa Smile
s3143,2004,Lakshya
s8145,2000,Taal
s6211,1990,Backtrack
s2593,1972,The Heartbreak Kid
s788,2003,Cradle 2 the Grave
s8449,1997,The Peacemaker
s2002,2003,Raising Victor Vargas
s6786,1999,Forces of Nature
s8414,1998,The Mask of Zorro
s159,2003,Love Don't Cost a Thing
s4263,1979,Watership Down
s833,2003,Word of Honor
s1949,2004,Van Helsing
s5751,1987,Blind Date
s6958,2004,Hellboy
s355,1991,The Last Boy Scout
s1125,1996,Maximum Risk
s6108,2004,Aitraaz
s1427,2003,Gangaajal
s602,1984,The Karate Kid
s1056,1981,Zoot Suit
s5901,2001,Wet Hot American Summer
s4031,2002,Disappearance
s5778,2001,Someone Like You
s3642,2002,The Son
s4130,1995,Safe
s2370,2003,Dark Waters
s2009,1989,Family Business
s135,1994,Clear and Present Danger
s704,2000,The Gift
s6424,2002,Carrie
s8065,1960,Spartacus
s5705,1979,Richard Pryor: Live in Concert
s6968,2005,Hide and Seek
s5217,2004,Laws of Attraction
s7702,2002,Panic Room
s6112,1974,Alice Doesn't Live Here Anymore
s7585,1975,Night Moves
s6867,1995,GoldenEye
s1715,1980,Prom Night
s1800,2004,Barbarians
s7933,2000,Sangam
s896,1998,Oxygen
s3400,2004,In My Country
s6773,1966,Follow Me
s8536,1996,The Trigger Effect
s6891,1932,Grand Hotel
s8159,2003,Teenage Mutant Ninja Turtles
s342,1999,Magnolia
s4690,1961,The Innocents
s6338,2001,Blow
s2384,1966,The Chase
s6165,2003,Anger Management
s7696,2002,Paid in Full
s6611,2002,Dil Hai Tumhaara
s4954,1997,Metro
s8541,2002,The Tuxedo
s7072,1989,Indiana Jones and the Last Crusade
s7863,1990,Revenge
s2745,2000,The Little Vampire
s7211,1996,Kingpin
s7525,2004,Mujhse Shaadi Karogi
s5732,1955,Love Me or Leave Me
s6117,1989,All Dogs Go to Heaven
s6620,2002,Doctor Zhivago
s1567,1996,She's the One
s6887,2003,Gothika
s7736,1993,Philadelphia
s8374,1994,The Jungle Book
s8624,2001,Tremors 3: Back to Perfection
s7565,2004,National Treasure
s1122,2001,Legally Blonde
s6978,2005,Hitch
s343,1995,Major Payne
s3969,2004,The Terminal
s6424,1952,Carrie
s2228,2004,Cursed
s5492,2005,Sahara
s820,1976,The Outlaw Josey Wales
s8487,2002,The Ring
s7276,2003,LeapFrog: Letter Factory
s7333,1962,Lolita
s8241,2000,The Cell
s1867,2002,The Legend of Bhagat Singh
s8604,1997,Tomorrow Never Dies
s2471,1984,Supergirl
s3216,2002,The Accidental Spy
s2384,1994,The Chase
s1442,1994,Hello Brother
s7580,2004,New York Minute
s8395,1989,The Little Mermaid
s2197,2004,Redemption
s5057,1999,Jerry Seinfeld: I'm Telling You for the Last Time
